City Name,Cloudiness,Current Temp,Humidity,Latitude,Max Temp,Wind Speed
Ginebra,75,82.4,61,3.72,82.4,12.75
Pukhrayan,44,87.52,37,26.23,87.52,9.33
Puerto Lempira,75,84.2,74,15.32,84.2,9.17
Gursahaiganj,0,82.03,44,27.12,82.03,7.2
Khadyzhensk,68,66.28,40,44.43,66.28,9.33
Anandnagar,0,81.58,64,27.1,81.58,13.8
Watertown,1,84.34,39,44.9,86,19.46
Hirado,92,67.9,99,33.34,67.9,1.5
Lezhe,0,71.6,88,41.78,71.6,3.36
Bagdarin,0,46.84,76,54.43,46.84,1.72
Neufahrn bei Freising,40,67.06,68,48.32,69.8,6.93
Karsiyang,100,62.14,95,26.88,62.14,1.83
Burhar,0,85.09,37,23.22,85.09,10
Canazas,76,77.17,88,8.32,77.17,3.29
Phulji,0,81.85,12,26.88,81.85,7.99
Richards Bay,92,61.78,100,-28.78,61.78,4.63
Beresti-Bistrita,0,64.4,55,46.72,64.4,4.7
Albany,40,79.47,69,31.58,80.6,6.93
Vyl’gort,90,50,87,61.62,50,4.47
Queensferry,0,59.7,87,55.98,62.6,5.82
Nikolsk,0,57.55,46,53.72,57.55,8.43
Kostino,88,44.77,97,58.91,44.77,6.2
Olovo,0,62.6,63,44.13,64.4,4.7
Stamata,0,72.48,35,38.13,73.4,9.17
Nogent-le-Rotrou,0,63.57,93,48.32,66.2,2.24
Kroken,32,63.31,55,61.13,63.31,2.28
Zemst,20,64.9,93,50.98,69.8,5.82
Santa Maria,0,77,57,-29.68,77,5.82
Tres Coracoes,0,63.67,47,-21.7,63.67,7.2
Imeni Tsyurupy,0,59,54,55.5,59,6.71
Turka,0,49.45,73,52.95,49.45,2.73
Dentsville,90,84.42,74,34.06,87.8,5.82
Mehadia,0,61.33,60,44.9,61.33,4.18
Stonewall,90,86,40,50.13,86,9.17
Lazi,0,56.92,68,48.07,56.92,2.73
Mijas,20,68,49,36.6,68,8.05
Peredovaya,80,60.61,57,44.12,60.61,19.84
Plaine Magnien,20,69.8,83,-20.43,69.8,3.36
Haifa,20,73.84,100,32.82,73.84,6.87
Casoria,40,76.23,54,40.92,78.8,2.24
Xapuri,75,86,66,-10.65,86,5.82
Somova,24,62.6,67,45.18,62.6,6.93
Varpalota,0,67.08,60,47.2,69.8,9.17
Vesyegonsk,0,64.57,43,58.66,64.57,14.92
Khambhat,0,88.51,71,22.3,88.51,10.22
Sadova,8,68,42,47.53,68,9.17
Mayo,75,50,66,63.6,50,3.36
Buenavista,8,76.36,95,10.7,76.36,7.76
Dobrovice,20,71.11,68,50.37,73.4,5.82
Sarmakovo,90,58.12,76,43.75,59,4.47
Bordesti,24,58.45,64,45.55,58.45,1.83
Ola,40,33.8,100,59.58,33.8,6.71
Betzdorf,75,68,88,50.78,68,4.7
Batak,20,68,64,41.95,68,9.17
Alto da Conceição,92,70.33,91,-8.83,70.33,7.54
Santa Ines Ahuatempan,0,87.97,22,18.42,87.97,2.95
Dasha,0,84.25,69,23.05,86,2.24
Camarasu,0,62.8,67,46.78,68,6.98
Yago,40,86,55,21.83,86,9.17
Saint Helens,90,60.3,58,45.86,60.8,5.82
Raglan,0,49.45,100,-37.8,49.45,10.22
Lochwinnoch,0,61.74,72,55.78,62.6,11.41
Barrio Santo Domingo,40,80.6,88,12.15,80.6,4.7
Aigio,0,69.8,83,38.25,69.8,3.36
Morbi,0,83.56,76,22.82,83.56,11.23
Zalau,0,63.18,68,47.2,64.4,4.7
Gobolka Jubbada Hoose,12,79.96,71,0.52,79.96,10.67
Kathu,40,77,88,7.91,77,2.24
Grakhovo,0,50,93,56.05,50,6.71
La Plata,0,72.46,60,-34.92,75.2,11.41
Dickson,75,77.65,94,36.08,80.6,6.93
Gevrai,8,83.2,53,18.98,83.2,12.68
Maennedorf / Dorfkern,0,64.72,72,47.25,68,3.36
San Pedro,0,87.8,55,-18.28,87.8,11.41
Lamitan,88,72.22,100,6.09,72.22,2.73
Minlagas,8,78.61,98,8.88,78.61,4.41
Mariara,40,89.69,48,10.3,91.4,8.05
Tacuta,0,69.8,46,46.92,69.8,4.7
Tangua,75,65.59,73,1.09,71.6,3.36
Barisal,20,81.04,91,22.7,81.04,5.3
Oviedo,75,82.58,74,28.67,87.8,20.8
Pereslavl-Zalesskiy,0,62.23,41,56.74,62.23,16.6
Ouricuri,8,79.51,51,-7.78,79.51,14.81
Knarrviki,24,64.93,53,60.54,64.93,1.39
Fallanden,0,64.69,72,47.37,68,3.36
Capaccio,40,62.6,63,40.42,62.6,5.82
Kamo,92,64.57,92,37.65,64.57,3.74
Playa del Carmen,75,84.63,66,20.62,89.6,8.05
Kasama,75,64.4,93,36.38,64.4,2.24
Dundee,0,52.42,70,-28.17,52.42,5.86
Temnikov,0,57.46,47,54.63,57.46,9.33
Hamza,56,55.03,49,40.43,55.03,6.64
Borgosesia,0,54.7,88,45.72,64.4,3.36
Teul de Gonzalez Ortega,0,91.12,27,21.47,91.12,3.62
Zacatelco,5,84.2,25,19.22,84.2,13.87
Baripāda,8,81.22,94,21.93,81.22,4.18
Rimavska Sobota,0,58.63,81,48.38,58.63,2.17
Kokkinokhoma,40,71.6,68,40.93,71.6,4.7
Knjazevac,0,69.8,46,43.54,69.8,8.05
Chocope,90,66.2,82,-7.79,66.2,13.87
Mariental,0,42.07,63,-24.63,42.07,7.43
Tortel,0,68.61,68,47.12,69.8,2.24
San Cosme y Damian,0,83.34,39,-27.32,84.2,6.93
Makir,92,74.65,100,7.03,74.65,7.65
Umm Bab,0,86.89,48,25.21,86.89,6.76
Panuco de Coronado,5,93.2,8,24.53,93.2,9.17
Palmi,20,73.47,49,38.35,75.2,11.41
Sojat,0,89.5,38,25.92,89.5,10.22
Wijnegem,75,66.65,83,51.23,69.8,5.82
Lampertheim,0,68.34,68,49.6,69.8,2.24
Himalaia,20,77,78,-9.58,77,8.05
Goya,80,78.16,48,-29.14,78.16,13.8
Gemunden,24,67.72,72,50.05,67.72,6.31
Kulai,75,78.84,88,1.66,80.6,2.24
Merauke,56,75.82,98,-8.47,75.82,13.24
Banesti,0,64.4,55,45.1,64.4,5.82
La Ermita,20,87.78,52,19.48,89.6,20.8
Montornes del Valles,0,67.3,64,41.54,69.8,6.93
Santa Maria,40,80.6,78,15.52,80.6,2.24
Bhatapara,92,91.84,32,21.73,91.84,7.2
Enns,40,73.4,53,48.2,73.4,10.29
Tovarkovskiy,0,53.5,58,53.64,53.5,9.22
Haacht,20,65.8,93,50.98,69.8,5.82
Dig,24,86.98,33,27.47,86.98,9.44
Kuppam,0,77.89,75,12.75,77.89,7.87
Cofradia,75,94.71,44,15.42,98.6,3.36
Avdeyevka,0,59.44,30,48.14,59.44,9.33
Cutro,40,66.61,100,39.03,75.2,17.22
Cagliari,20,69.69,68,39.22,71.6,10.29
Garanhuns,92,67.81,91,-8.9,67.81,9.78
Zacatecoluca,40,79.45,74,13.5,86,6.93
Bella Vista,0,79.69,39,-22.13,79.69,7.65
Leningradskiy,44,30.37,100,69.38,30.37,11.01
Ikovka,0,30.37,79,55.61,30.37,3.06
Karasjok,92,41.26,86,69.45,41.26,12.01
Ardusat,0,64.4,63,47.7,64.4,2.24
Sarrebourg,0,63.91,77,48.73,68,2.24
Sumilao,64,68.89,100,8.29,68.89,2.95
Abha,0,73.49,68,18.22,75.2,1.39
Lun Pequeno,88,72.22,100,6.04,72.22,2.73
Sant’Anna,0,65.71,78,43.83,75.2,5.82
Blyznyuky,0,58.81,33,48.86,58.81,9.55
Vreden,90,64.99,93,52.03,66.2,4.7
Bannu,0,72.49,39,32.99,72.49,5.75
Ørland,20,53.35,81,63.68,57.2,5.82
Leopoldshöhe,90,70.25,60,52.02,75.2,1.12
Yelbarga,24,74.56,95,15.63,74.56,10.22
Becerril,8,85.99,54,9.7,85.99,2.28
La Vista,75,79.45,65,41.18,87.8,23.04
Ash Vale,75,59.2,87,51.27,60.8,12.75
Draguseni,12,57.55,74,45.97,57.55,2.73
Baturinskaya,0,65.92,26,45.79,65.92,20.29
Plaridel,76,78.43,100,10.57,78.43,4.18
Mildura,0,42.16,96,-34.19,42.16,7.09
Pa Sang,75,73.4,100,18.53,73.4,2.24
Mantoudi,20,64.4,63,38.87,64.4,5.82
Mount Holly,1,83.48,65,39.99,86,4.41
Olemps,36,58.32,87,44.35,59,4.7
Vanavara,92,43.51,98,60.34,43.51,5.64
Altenburg,0,73.4,64,50.98,73.4,10.29
Paszto,0,69.8,73,47.92,69.8,8.05
Panchgani,36,72.04,100,17.92,72.04,3.18
Nandasmo,40,82.62,88,11.93,84.2,4.7
Capas,40,81.63,78,15.28,82.4,2.24
Sur,0,88.42,81,22.57,88.42,7.31
Jaromer,0,69.91,68,50.35,71.6,9.17
Holzem,0,63.72,88,49.62,64.4,4.7
Lagoa do Canto,20,82.4,61,-5.92,82.4,14.99
Techiman,24,77.98,86,7.58,77.98,7.65
Sevojno,0,59.97,67,43.84,60.8,5.82
Luvianos,0,85.72,35,18.92,85.72,3.06
Valle de Bravo,40,82.4,9,19.18,82.4,16.11
Bussolengo,40,74.55,64,45.48,75.2,5.82
Telki,0,69.8,73,47.55,69.8,8.05
Lidkoping,0,65.5,77,58.5,69.8,8.05
Rasnov,0,52.6,66,45.58,52.6,2.39
San Antonio,40,81.63,78,15.15,82.4,2.24
Katav-Ivanovsk,92,34.6,96,54.75,34.6,2.95
Granby,1,75.18,36,45.38,77,4.7
Závodie,0,59,100,49.22,59,3.36
Chlumcany,75,62.28,93,49.63,64.4,4.7
Lodeynoye Pole,8,66.91,35,60.8,66.91,16.04
Conway,75,86.34,52,35.09,89.6,3.36
Podlesnyy,0,56.74,54,53.94,56.74,11.56
Faubourg Schœlcher,20,85.01,62,14.48,86,14.99
Ruiselede,20,61.61,87,51.05,68,8.05
Leeton,88,46.12,96,-34.55,46.12,17.38
Statesville,1,78.58,74,35.78,82.4,4.7
Sagua la Grande,75,84.2,62,22.81,84.2,10.29
Perico,90,73.4,100,22.77,73.4,4.7
Velingara,32,84.46,61,13.15,84.46,4.63
Fishers,40,89.62,43,39.96,91.4,13.87
Fuerte Olimpo,0,85.72,30,-21.03,85.72,8.99
Kresna,0,50.17,89,41.73,50.17,1.95
Kings Park,40,80.91,69,40.89,89.6,10.29
Poperinge,88,61.23,88,50.85,68,3.36
Kuchl,75,69.8,60,47.62,69.8,6.93
Grado,32,71.1,82,45.68,73.4,6.93
Pont Troué,0,63.48,100,50.38,68,2.24
Tilik,8,86.17,98,13.81,86.17,16.71
Tepeapulco,40,86,9,19.78,86,11.41
Shunde,0,85.06,84,22.67,86,4.47
Polyarnyye Zori,48,47.83,65,67.42,47.83,11.12
Sapatgram,0,71.86,80,26.33,71.86,5.75
Meshcherino,0,57.04,54,55.2,59,6.71
Horgesti,0,64.4,55,46.43,64.4,4.7
Villarrobledo,48,53.05,92,39.27,53.05,5.97
Límnai,8,63.04,60,37.72,63.04,2.62
Dąbrowa Tarnowska,0,66.01,54,50.17,66.01,6.76
Riachao do Dantas,92,70.78,98,-11.07,70.78,8.43
Shchebetovka,20,68.89,69,44.94,68.89,21.85
Lanycsok,0,64.4,63,46.01,64.4,8.05
White River Junction,1,81.93,25,43.66,86,8.05
Zalukokoazhe,75,58.05,67,43.9,59,15.66
Gull Lake,1,78.8,36,50.1,78.8,18.34
Aguas Formosas,68,67.72,73,-17.08,67.72,9.22
Indapur,88,79.24,96,18.3,79.24,2.62
Sabana Grande,75,75.2,88,18.08,75.2,3.36
Karperi,12,58.54,76,41.12,58.54,2.62
Debelets,0,60.8,82,43.03,60.8,4.97
Radenci,48,64.22,88,46.65,66.2,5.82
Tahara,75,69.8,88,34.67,69.8,9.17
Tuam,0,69.8,60,53.52,69.8,9.17
Jumri Tilaiya,75,86,79,24.43,86,10.29
Laubach,75,67.32,77,50.55,69.8,8.05
Gospic,0,69.8,88,44.55,69.8,2.39
Pa Daet,90,73.4,94,19.5,73.4,3.36
Musselburgh,0,59.52,87,55.93,62.6,5.82
Talodi,24,71.5,93,10.64,71.5,5.41
Laa an der Thaya,0,69.37,68,48.72,71.6,10.29
Newport News,75,77.9,83,36.98,80.6,4.7
Valdosta,75,80.62,88,30.83,82.4,9.17
Santander,92,75.73,93,9.46,75.73,3.4
Fond du Sac,20,69.8,83,-20.04,69.8,3.36
Jacupiranga,0,65.29,83,-24.7,65.29,6.31
Harduaganj,0,82.84,40,27.95,82.84,10
Paço de Arcos,20,60.01,82,38.7,60.8,5.82
Sokone,20,73.4,78,13.88,73.4,6.93
Krichim,68,68,64,42.05,68,9.17
Bertrix,75,62.6,93,49.85,62.6,3.36
Cuchucún,75,66.2,63,-2.55,66.2,6.93
Balan,0,52.24,65,46.65,52.24,2.39
Sankt Johannisrain,68,67.57,77,47.75,73.4,9.17
Libato,12,78.52,92,13.8,78.52,4.18
Santa Maria,75,84.2,74,14.47,84.2,5.82
San Jeronimo,8,57.91,19,-11.95,57.91,0.94
Medgyesegyhaza,0,64.4,68,46.5,64.4,5.82
Lamtah,0,69.8,94,35.67,69.8,11.41
Tiko,40,78.8,94,4.08,78.8,3.36
General Delgado,0,82.4,39,-27.17,82.4,6.93
